id	year	month	date	event	category	level	volume	chapter	detail	image	imageAuthor	imageSource
1128090000	1128	9		金西路军完颜娄室克延安。金东路军合击东京。	1							
1128090001	1128	9		江南御营后军叛，据江宁府。	1							
1128100000	1128	10	初	兀术破中牟。娄室北上破府州，折可求降金。	1							
1128101400	1128	10	14	兀术败韩世忠于朱家曲。	1							
1128101600	1128	10	16	十月十六，韩世忠被围于长社。	1							
1128110000	1128	11	初	挞懒南下至长社。张遇以临颍降金。	1							
1128111000	1128	11	10	兀术军南下至南阳。	1							
1128111500	1128	11	15	金兵攻城，受挫于羊马墙下。	1							
1128111600	1128	11	16	毁金兵甬道。	1							
1128110000	1128	11	下旬	破金兵砲阵。	1							
1128110001	1128	11		金兵破舞阳。	1							
1128120000	1128	12		宗泽病重，以杜充为东京副留守。	0							
1128120001	1128	12		王彦率八字军自太行南下援东京。	1							
1128121800	1128	12	18	王德破张遇寨。	1							
1128121900	1128	12	19	以杜充督兵南下救长社。	1							
1128122500	1128	12	25	聚兵于鄢陵。	1							
1128122700	1128	12	27	张俊部刘宝至扶沟。	1							
1128122900	1128	12	29	李宝、李逵至鄢陵。诸将请战。	1							
1129010100	1129	1	1	杜充通使于挞懒。								
1129010500	1129	1	5	诸将求战，为杜充所拒。								
1129010700	1129	1	7	杜充谎奏诸将不和内斗。								
1129010900	1129	1	9	杜岩至南阳，奏杜充避战事。决用吕颐浩谋北上。								
1129011000	1129	1	10	以八百骑东行。宋军败于南阳城外。								
1129011200	1129	1	12	驰入鄢陵军，亲斩杜充。								
1129011300	1129	1	13	亲征，以岳飞为先锋，全军击挞懒于长社，大捷。挞懒北逃。	1							
1129011400	1129	1	14	以韩世忠统兵北上追击，岳飞南下阻兀术。复中牟。	1							
1129011500	1129	1	15	入东京，会宗泽。夜，宗泽病卒。								
1129011600	1129	1	16	挞懒弃郑州渡河北走，耶律马五败逃西京。	1							
1129011800	1129	1	18	兀术部开始北撤。	1							
1129012200	1129	1	22	兀术受阻于澧水。	1							
1129010000	1129	1		兀术受阻于汝水、颍水，转向西北撤入西京。	1							
1129010001	1129	1		西京金东路军渡河北撤，复西京。金西路军至河东，李彦仙军南撤。	1							
1129020000	1129	2		宋金双方沿河对峙。	1							
1129020001	1129	2		京东金兵后撤。金兵第四次南侵结束。	1							
1129021500	1129	2	15	张俊复南京后至东京。令河南兴军屯、民屯，诏行在及诸将会于河阴。	1							
1129022300	1129	2	23	河阴之会始。议追赠、封赏，宴帅臣。	0							
1129022400	1129	2	24	阅兵，与诸统制誓。								
1129020000	1129	2		御营整编，以韩世忠统左军，张俊统右军，岳飞统前军，李彦仙统中军。遣岳飞南下平叛。	1							
1129030000	1129	3		金使报邢皇后死讯，归二公主。								
1129030001	1129	3		江宁叛军扰扬州，皇子病亡。	1							
1129030002	1129	3		李纲以罪罢相，改以枢使吕颐浩镇扬州。	0							
1129030003	1129	3		金扶刘豫称帝。蒙兀反金。								
1129040000	1129	4	上旬	首次东京大朝会，多事未决。								
1129040001	1129	4		岳飞平江宁乱。	1							
1129040002	1129	4	下旬	御史中丞胡寅巡关中，后转制置使。								
1129050400	1129	5	4	征曲端入京。								
1129050000	1129	5		加东南月椿钱。								
1129052000	1129	5	20	军议御营编制军额，计二十余万。								
1129050000	1129	5		高丽使来。								
1129060000	1129	6		史斌乱汉中。	1							
1129060001	1129	6		讽相国寺、少林寺佐军用。以宗正、宰相代祭皇陵。								
1129060002	1129	6		令赎还御营兵士及流民家人，议开恩科。								
1129060003	1129	6		伪齐军来攻，遣班直助战。	1							
1129060004	1129	6		张荣拒刘麟、孔彦舟于东平府平阴。杨沂中阻李成于北新桥。	1							
1129060005	1129	6		岳飞军至，复阳谷，李成、洪涯遁走。	1							
1129060006	1129	6		岳飞出兖州，与张荣围伪齐军于平阴北，阵斩孔彦舟，俘刘麟。	1							
1129060007	1129	6		张荣入京献俘，授御营水军都统制。	0							
1129070000	1129	7		胡寅以吴玠平史斌乱。张浚令刘锜诛王燮。	1							
1129081000	1129	8	10	恩科殿试。								
1129081200	1129	8	12	放榜，曲端、岳飞登进士科。								
1129081600	1129	8	16	以陈规签书枢密院事，主东京城防。宰执轮宿禁中。	0							
1129081700	1129	8	17	诸帅各返军中备秋。								
1129080000	1129	8		金皇太弟完颜斜也病亡。								
1129090000	1129	9	下旬	东京城防修毕。								
1129110000	1129	11	下旬	立潘吴二贵妃。								
1129110001	1129	11		出京巡黄河。								
1129112800	1129	11	28	以虞允文为使北渡，索还叛将。								
1129113000	1129	11	30	于天台山会诸将。								
1129120100	1129	12	1	虞允文归，议焚小吴埽。								
1129120300	1129	12	3	谋以张荣舟师自梁山入黄河。								
1129120900	1129	12	9	通汴河、五丈河。								
1129121000	1129	12	10	毁东京水门及汴河各桥以通舟。								
1129121200	1129	12	12	舟师入汴。								
1129121700	1129	12	17	张荣军焚小吴埽，斩大?。	1							
1129120000	1129	12		发国债五十万贯。								
1129122600	1129	12	26	于太学议政。								
1130010100	1130	1	1	金兵第五次南侵开始。	1							
1130010000	1130	1		金西路军侵陕州，完颜娄室自蒲津南渡破潼关。	1							
1130010400	1130	1	4	御前军议，以韩世忠援长安。	1							
1130010500	1130	1	5	亲征援陕州。	1							
1130011200	1130	1	12	至洛阳。分御营中军援陕州。	1							
1130012200	1130	1	22	韩世忠至长安，战于城下。	1							
1130010000	1130	1	底	娄室撤军归河中。金兵第五次南侵结束。	1							
1130010001	1130	1		韩世忠毁蒲津浮桥。	1							
1130021300	1130	2	13	返东京城。								
1130020000	1130	2	下旬	金人于燕京立完颜阿骨打嫡孙合剌为皇储。议再次南侵。								
1130030000	1130	3		金使来，约以送还韦太后。								
1130030001	1130	3	下旬	以韩肖胄使金迎韦太后。								
1130030002	1130	3		洞庭湖钟相反。	1							
1130030003	1130	3		太行报金兵大集。	1							
1130030004	1130	3		金兵第六次南侵开始。完颜娄室渡河西击鄜延路。金东路军分路南下大名及西进太原。	1							
1130030005	1130	3		以韩世忠援关中，以御营中军亲征西进，定储事。调御营后军北上。	1							
1130040100	1130	4	1	过汜水关，以曲端为环庆路经略使。	0							
1130040500	1130	4	5	以汪伯彦留守洛阳。								
1130040000	1130	4		娄室破鄜州，丹州。韩世忠入守同州。	1							
1130041800	1130	4	18	间道至长安。								
1130040000	1130	4	下旬	吴玠阻金兵于坊州。耶律马五南下克白水。	1							
1130050200	1130	5	2	御营前军、右军各遣精锐至长安。								
1130050500	1130	5	5	岳飞军北渡，金兵于长泉渡南渡。	1							
1130050000	1130	5		金兵破洛阳，枢密汪伯彦殉死。	1							
1130050700	1130	5	7	议定，求决战。								
1130051200	1130	5	12	离长安。								
1130051500	1130	5	15	至荆姚镇大营。								
1130051600	1130	5	16	诏吴玠为帅。								
1130052100	1130	5	21	两军相遇于尧山下。	1							
1130052700	1130	5	27	兀术西渡援娄室。	1							
1130052800	1130	5	28	金军攻平陆。	1							
1130052900	1130	5	29	尧山决战，阵斩金主帅娄室。	1							
1130060200	1130	6	2	追俘韩常，次日斩之。兀术泅遁河东，仅以身免。	1							
1130060300	1130	6	3	议赏罚。封韩世忠为延安郡王。	0							
1130060000	1130	6	上旬	金兵弃洛阳北归。	1							
1130060001	1130	6	中旬	副相许景衡至御前，议战后事。以吴玠统西军重编御营后军，曲端统御营骑军。	0							
1130060002	1130	6		岳飞部渡河南归。金第六次南侵结束。	1							
1130080000	1130	8		裁编御营七军至二十万。度田于关中、河南，复三学。以吕好问为公相。	0							
1130090000	1130	9		归东京。许景衡病辞。罢东南、荆襄使相，吕颐浩去枢位。以赵鼎为相，张浚为枢使，刘汲为副相。	0							
1130090001	1130	9		以岳飞部南下平钟相。	1							
1130100000	1130	10	下旬	赦天下，事金人为奸者不赦。								
1130110000	1130	11		再行国债。								
1130120000	1130	12		与吕好问论原理学。								
1130120001	1130	12	末	依前例于太学议政。								
1131010000	1131	1		吕好问论原学于邸报。								
1131010001	1131	1		于宫中亲事农桑。								
1131020000	1131	2		岳飞平湖庭湖钟、杨之乱。	1							
1131020001	1131	2		以原学为官学。								
1131030000	1131	3		沙汰前代恩荫。								
1131031800	1131	3	18	拒金使言和。								
1131030000	1131	3		金燕京政变，兀术杀粘罕，吴乞买退位，合剌继为国主，改元皇统，迁都燕京，改制。								
1131040000	1131	4		金使再来议和。								
1131050000	1131	5		在京官吏及太学生百余人上书秘阁，拒和议。								
1131050001	1131	5		岳飞平南岭诸乱，北归。	1							
1131060000	1131	6	上旬	金遣二太后南归。金罢刘豫。二十六日，于白马渡迎二圣归，拒和，易白马县名为绍兴。								
1131060001	1131	6		御营右军复京东青、潍、莱三州。	1							
1131070200	1131	7	2	岳飞败李成于淄水，追斩李成于笼水。	1							
1131070000	1131	7		金兵北撤，伪齐亡，京东各州尽复。	1							
1131070001	1131	7	中旬	召岳飞返京，以公主与飞长子云约婚。令韩世忠统关西军事，岳飞统京东军事。	0							
1131070002	1131	7		于登州建御营海军，以李宝为统制。	0							
1131081500	1131	8	15	中秋，于岳台公祭。秘阁、外阁合议，改青苗贷。吕好问辞公相。	0							
1131080000	1131	8		金兵攻陕北。	1							
1131100000	1131	10		耶律余睹奔宋。以胡闳休出使西辽。								
1132010500	1132	1	5	亲征长安，以岳飞为主将。	1							
1132020000	1132	2		诞皇子二。								
1132020001	1132	2	底	宋攻西夏。	1							
1132030000	1132	3		与兀术隔河对峙于蒲津，遣使通问。	1							
1132030001	1132	3		西辽耶律大石军攻河西。	1							
1132030002	1132	3	底	岳飞军改道由葫芦河北上。	1							
1132040500	1132	4	5	金兵自蒲津北去。	1							
1132040900	1132	4	9	岳飞军败西夏军于兴庆府南，斩西夏梁王。	1							
1132041000	1132	4	10	克兴庆府。	1							
1132041400	1132	4	14	吴玠军攻横山七州，韩世忠军北攻延安，兀术军北上后套，耶律大石军北上后套，横山西夏军西归。	1							
1132042200	1132	4	22	二十二日，亲征至保安军。	1							
1132042800	1132	4	28	横山皆降，岳飞军灭西夏主力于顺州，斩西夏晋王察哥。	1							
1132050800	1132	5	8	驾兴庆府。								
1132052000	1132	5	20	北上入后套，会西辽、蒙兀于兀剌海城。						"11320520-01,11320520-02,11320520-03"	"逐日金痕,逐日金痕,逐日金痕"	"https://bbs.nga.cn/read.php?tid=24008898,https://bbs.nga.cn/read.php?tid=24008898,https://bbs.nga.cn/read.php?tid=24008898"
1132050000	1132	5	底	复延安、麟、府。								
1132060200	1132	6	2	东进至金河。								
1132060600	1132	6	6	金河泊会盟，立辽帝，及蒙古东、西二国王，并定界。						"11320606-01,11320606-02"	"悦冻窝心,书友20200423183236848"	"https://h5.if.qidian.com/h5/share/post/base?circleId=15610037104915904&postId=545540574627889152,https://h5.if.qidian.com/h5/share/post/base?circleId=15610037104915904&postId=545773599232032768"
1132060000	1132	6	下旬	南归宁夏路。								
1132070000	1132	7		送大石西行。								
1132080000	1132	8	初	返抵长安。升梁扬祖为副相，升王渊以枢副，俱休。迁转诸尚书。	0							
1132080001	1132	8	底	归东京。								
1132090000	1132	9	初	报西夏亡，国主前自杀于地斤泽，传首入京，迁其二子居东京。								
1132090001	1132	9		赐折可求死，罢折家世职。								
1132100000	1132	10		御营右军张宗颜部败于棣州。	1							
1132110100	1132	11	1	朝议，诏刑部与枢密院重修军律。								
1132111100	1132	11	11	于河阴整饬水军。								
1132111200	1132	11	12	马扩南下至河阴入觐，旋返太行。								
1132110000	1132	11		东巡御营中军、前军、右军、海军诸部。								
1132122500	1132	12	25	返抵东京。								
